feature,target,pooled_spearman,within_patient_spearman
ecg_n_rpeaks,sbp,-0.10834934963268307,-0.01081657060804644
hr_bpm,sbp,-0.1078869083342228,-0.0275923453493547
rr_mean_ms,sbp,0.10787792598430197,0.0275923453493547
sdnn_ms,sbp,0.07066034719746976,0.06440120415130889
rmssd_ms,sbp,0.007215741301806448,-0.0031299104775870694
rr_cv,sbp,0.03685473345779031,0.07127731768513802
ppg_n_beats,sbp,-0.10402178793175677,-0.00623431319499864
ppg_sys_amp_mean,sbp,0.031109970001357283,-0.10700778642936595
ppg_sys_amp_std,sbp,-0.15296009554597934,0.062075870892521944
ppg_upstroke_ms_mean,sbp,-0.0667908089536719,0.030108115787631607
ppg_upstroke_ms_std,sbp,-0.0835724735206515,0.03826899567567661
ppg_crest_frac_mean,sbp,-0.13598137269836563,-0.03937708565072302
ppg_crest_frac_std,sbp,-0.06612801285267808,0.029860765938669178
ppg_pulse_dur_ms_mean,sbp,0.10395683197832556,0.002393980988155775
ppg_pulse_dur_ms_std,sbp,0.03647618356190019,0.05147864955970253
ppg_w25_ms_mean,sbp,0.03569423153784247,0.09167779488206984
ppg_w25_ms_std,sbp,-0.036357547123007726,0.059172633541393856
ppg_w50_ms_mean,sbp,-0.026301768521786742,0.050862549007280426
ppg_w50_ms_std,sbp,-0.08408837154807587,0.10014465896792726
ppg_w75_ms_mean,sbp,0.0069813236111010675,0.06876599915797671
ppg_w75_ms_std,sbp,-0.07080573007797723,0.06874304783092325
ppg_sysdia_area_mean,sbp,-0.08566421838527359,-0.014241210855467158
ppg_sysdia_area_std,sbp,-0.1359723738804722,-0.011577780602661082
ppg_aug_index_mean,sbp,-0.04867894692691986,-0.03309515089252832
ppg_aug_index_std,sbp,-0.014132720125142908,0.08590007347667675
ppg_vpg_max_mean,sbp,0.10863642230196956,-0.008456660090624969
ppg_vpg_max_std,sbp,-0.12383139156707827,0.05451106942174866
ppg_apg_ba_mean,sbp,0.01278247065812522,0.026702270354000926
ppg_apg_ba_std,sbp,-0.2001132083852637,-0.11446392564051919
pat_foot_ms_mean,sbp,-0.032503472988937986,-0.20220475580076153
pat_foot_ms_std,sbp,-0.012131113772130785,0.00478796197631155
pat_peak_ms_mean,sbp,0.05797537495467071,-0.08359220892501416
pat_peak_ms_std,sbp,-0.09248437529166904,0.06297986330649648
ppg_skew,sbp,0.11026945463475928,-0.10615333850600289
ppg_spec_purity,sbp,0.17390749857053991,0.021579532814238044
ecg_n_rpeaks,dbp,0.21745595950471905,0.06784922534108212
hr_bpm,dbp,0.21756442153965577,0.03350021488184025
rr_mean_ms,dbp,-0.21756948006494847,-0.03350021488184025
sdnn_ms,dbp,-0.05230477249753629,0.0390016220522908
rmssd_ms,dbp,-0.06900090509912163,-0.016947286494974546
rr_cv,dbp,0.0175426579237832,0.09346834837006543
ppg_n_beats,dbp,0.23980795916434486,0.07394525912823771
ppg_sys_amp_mean,dbp,0.017962630838777364,-0.10075187969924812
ppg_sys_amp_std,dbp,0.045751007696267935,0.08122844560731877
ppg_upstroke_ms_mean,dbp,-0.36139018204235007,0.07943925430315274
ppg_upstroke_ms_std,dbp,-0.03970915494765233,0.0748075260156948
ppg_crest_frac_mean,dbp,-0.023486222216929916,0.11221128902354222
ppg_crest_frac_std,dbp,0.042646279684357746,0.03696670019471309
ppg_pulse_dur_ms_mean,dbp,-0.24008604143977264,-0.04174551957292492
ppg_pulse_dur_ms_std,dbp,-0.06608847903473172,0.026254310986801394
ppg_w25_ms_mean,dbp,-0.1516352759294735,0.057205755188472505
ppg_w25_ms_std,dbp,0.07094169521682922,0.09034268136436979
ppg_w50_ms_mean,dbp,-0.19201847683738976,0.05725616704217664
ppg_w50_ms_std,dbp,0.05952764063586239,0.11504228144182065
ppg_w75_ms_mean,dbp,-0.20633050037357528,0.07276368671465253
ppg_w75_ms_std,dbp,0.050126460669351884,0.060150398329211756
ppg_sysdia_area_mean,dbp,-0.13533748262649772,0.03474389682089102
ppg_sysdia_area_std,dbp,0.043727248216240966,0.020154957776433474
ppg_aug_index_mean,dbp,0.1947682714077074,-0.003007518796992481
ppg_aug_index_std,dbp,0.12690929413004576,0.07533539731682146
ppg_vpg_max_mean,dbp,0.3497620690499244,-0.03850863144947175
ppg_vpg_max_std,dbp,0.13672547142833702,0.13835371530761761
ppg_apg_ba_mean,dbp,-0.1406311555612827,0.14288995299080287
ppg_apg_ba_std,dbp,-0.19648963062956754,-0.0977944962147261
pat_foot_ms_mean,dbp,-0.05195106372995501,-0.17048534639095964
pat_foot_ms_std,dbp,-0.003977574739558941,0.010258163938607633
pat_peak_ms_mean,dbp,-0.20534687378574673,-0.02393757795360539
pat_peak_ms_std,dbp,-0.02109193056448013,0.06616076458093954
ppg_skew,dbp,-0.019806702534643807,-0.1897252809144
ppg_spec_purity,dbp,-0.04430953514964275,0.012961023299777387
