,modality,variance,near_zero_var,mutual_info,rf_importance,lasso_abs_coef,consensus_rank,selection_frequency
ppg_vpg_max_mean,PPG,35.69632073890005,False,0.14872975696214308,0.07508459079924079,7.285719126497239,3.0,0.9666666666666667
pat_foot_ms_mean,PAT,10798.200942654808,False,0.15759444926911126,0.06776633299569534,0.702049087819253,6.333333333333333,0.9666666666666667
pat_peak_ms_mean,PAT,64559.94980215685,False,0.1574146918076864,0.037942645569023326,2.236267043505058,7.333333333333333,0.7
ppg_apg_ba_mean,PPG,0.1006733364698816,False,0.11786281673907695,0.04716906218703987,4.300164850064886,7.333333333333333,1.0
ppg_sys_amp_mean,PPG,0.0407977112180999,False,0.0741281898715247,0.06001481392848076,3.8327766537932755,7.666666666666667,0.9666666666666667
ppg_upstroke_ms_mean,PPG,3174.93102585742,False,0.1402345726775902,0.03942731644325949,1.3915181424718146,8.0,0.43333333333333335
ppg_apg_ba_std,PPG,1.7070550929341357,False,0.03366754219364276,0.051781242417577714,2.5967810237469586,11.333333333333334,0.6
hr_bpm,ECG/HRV,437.44606761764925,False,0.1912361665668767,0.05020751507222774,0.0,11.5,0.26666666666666666
ppg_crest_frac_mean,PPG,0.007416907503800239,False,0.12975307721561258,0.03502806946019326,0.4888982639079566,12.333333333333334,0.2
ppg_w75_ms_std,PPG,147.74092049345623,False,0.05333417246562622,0.03013896937425058,2.834806079304022,12.666666666666666,0.43333333333333335
ppg_w25_ms_mean,PPG,11864.756643622803,False,0.13459956583274657,0.023944855874426386,1.0194148655998925,12.666666666666666,0.03333333333333333
ppg_w50_ms_mean,PPG,5619.4712606874755,False,0.13085424482581764,0.0322085343274285,0.10321752041088324,13.0,0.3
rr_mean_ms,ECG/HRV,28453.57122901612,False,0.19269369464037744,0.030623604180455018,0.0,14.166666666666666,0.2
ppg_skew,PPG,0.09112301319138236,False,0.09933941290453863,0.04989190795929135,0.0,16.166666666666668,0.8666666666666667
ppg_spec_purity,PPG,0.004939818895790217,False,0.043327942593372804,0.02522201667952555,0.6632241906277403,17.0,0.13333333333333333
ppg_sysdia_area_mean,PPG,0.3391823874063909,False,0.08290303370791552,0.038304182957976086,0.0,17.5,0.26666666666666666
ppg_sys_amp_std,PPG,0.06092114301064414,False,0.049960845456563874,0.01575428395574705,1.4726030718725633,17.666666666666668,0.0
ppg_w75_ms_mean,PPG,1915.6780274335379,False,0.10871133033634361,0.031211474126509396,0.0,18.166666666666668,0.4666666666666667
pat_peak_ms_std,PAT,864.4888332769428,False,0.03337034358983271,0.019706042536623513,0.9811776077495663,18.666666666666668,0.0
ppg_pulse_dur_ms_std,PPG,1082.08824958389,False,0.03235339781420876,0.018043044562481486,1.0302628380177241,19.666666666666668,0.0
ppg_pulse_dur_ms_mean,PPG,31516.513417442973,False,0.18399286826070593,0.014327648813010888,0.0,19.833333333333332,0.1
ppg_aug_index_mean,PPG,0.02987811105898417,False,0.05837315812644306,0.026176086820418595,0.0,20.5,0.03333333333333333
ecg_n_rpeaks,ECG/HRV,111.78477742614076,False,0.17031783593353111,0.0063969512771518,0.0,21.833333333333332,0.0
ppg_sysdia_area_std,PPG,15.32605203996042,False,0.03300988737326094,0.017963122991225888,0.03588697930360767,22.666666666666668,0.0
rmssd_ms,ECG/HRV,2705.7022220683875,False,0.040156548352171306,0.018962183317421416,0.0,23.5,0.03333333333333333
ppg_n_beats,PPG,131.11023968623323,False,0.13665485087880302,0.0052471796310206206,0.0,23.833333333333332,0.0
ppg_upstroke_ms_std,PPG,374.0195024351375,False,0.037055459812385116,0.016958568447183065,0.0,25.166666666666668,0.0
ppg_w25_ms_std,PPG,655.2767862383894,False,0.022302130323224922,0.01694904353137835,0.012704950755100194,25.666666666666668,0.0
rr_cv,ECG/HRV,0.0026925579313934007,False,0.04056639504722748,0.014346862547986077,0.0,25.833333333333332,0.0
pat_foot_ms_std,PAT,642.8351315989084,False,0.03317080777129888,0.017364994746539235,0.0,25.833333333333332,0.0
sdnn_ms,ECG/HRV,1042.4723378117026,False,0.02098428162880861,0.013154195815102694,0.35646175770823735,26.666666666666668,0.03333333333333333
ppg_aug_index_std,PPG,0.006568402288133461,False,0.011878491257950596,0.010889458259117224,0.07872158884083884,28.333333333333332,0.0
ppg_w50_ms_std,PPG,262.22773848101076,False,0.02745589373321078,0.015483584212539904,0.0,28.5,0.0
ppg_crest_frac_std,PPG,0.0005425725200980854,False,0.026598161722968694,0.01345771598733053,0.0,29.833333333333332,0.0
ppg_vpg_max_std,PPG,6.770464014543334,False,0.028816598623301104,0.01285189819512061,0.0,29.833333333333332,0.0
